date,country_code,country,sector,pay_transparency_pct,pay_transparency_pct_3ma
2020-05-01,US,United States,Education & Instruction,16.334480884218156,17.662610148334036
2020-05-01,US,United States,Electrical Engineering,10.749731759656653,9.00168974840414
2020-05-01,US,United States,Food Preparation & Service,11.777241565939022,10.831246064355673
2020-05-01,US,United States,Hospitality & Tourism,18.413055711873945,17.345811625438806
2020-05-01,US,United States,Human Resources,15.480824270177445,13.525673595989717
2020-05-01,US,United States,"IT Infrastructure, Operations & Support",12.373511238470494,11.339753217678279
2020-05-01,US,United States,IT Systems & Solutions,7.363712508687827,6.4542441800139585
2020-05-01,US,United States,Industrial Engineering,5.606442490932563,5.056871278839521
2020-05-01,US,United States,Installation & Maintenance,30.20901821073072,26.18944885399553
2020-05-01,US,United States,Insurance,31.80383709863247,27.234873980279275
2020-05-01,US,United States,Legal,21.06790481717934,18.077491923738865
2020-05-01,US,United States,Loading & Stocking,25.508425334108075,22.253424920040448
2020-05-01,US,United States,Logistic Support,18.774243599689683,15.77415338808352
2020-05-01,US,United States,Management,8.385969311787846,7.449146116107148
2020-05-01,US,United States,Marketing,19.37128869951498,15.79107671669339
2020-05-01,US,United States,Mechanical Engineering,10.552604455720289,8.880225517259632
2020-05-01,US,United States,Media & Communications,21.647464069366908,19.003314614002775
2020-05-01,US,United States,Medical Information,15.743011280039235,12.444236309451346
2020-05-01,US,United States,Medical Technician,12.712012917923618,10.021647705428473
2020-05-01,US,United States,Nursing,13.365641611718926,11.529367259080525
2020-05-01,US,United States,Personal Care & Home Health,26.83211791290058,24.718447283765617
2020-05-01,US,United States,Pharmacy,7.910431770293918,7.352903278455898
2020-05-01,US,United States,Physicians & Surgeons,9.660623214333395,8.030578202863223
2020-05-01,US,United States,Production & Manufacturing,26.54157030659675,23.3120861604966
2020-05-01,US,United States,Project Management,11.3165379926859,9.682432337632404
2020-05-01,US,United States,Retail,9.473218354772172,7.964555406102252
2020-05-01,US,United States,Sales,18.499028917823253,15.086607798110046
2020-05-01,US,United States,Scientific Research & Development,5.757790073636477,5.590040929900975
2020-05-01,US,United States,Security & Public Safety,29.636849324958487,29.78614646211837
2020-05-01,US,United States,Social Science,21.379679144385026,19.132026342693944
2020-05-01,US,United States,Software Development,7.420581732366452,6.918580740725772
2020-05-01,US,United States,Therapy,18.59394545909432,16.884175463327022
2020-06-01,US,United States,Accounting,20.73600868213995,18.086269268680404
2020-06-01,US,United States,Administrative Assistance,29.6422375202958,25.634001447170935
2020-06-01,US,United States,Architecture,20.51660516605166,17.555804772907155
2020-06-01,US,United States,Arts & Entertainment,18.90270574267325,16.096837762765368
2020-06-01,US,United States,Aviation,14.007308160779536,13.152132048594758
2020-06-01,US,United States,Banking & Finance,11.714017791519883,9.631502548781727
2020-06-01,US,United States,Childcare,48.30445412990326,43.00353963596174
2020-06-01,US,United States,Civil Engineering,15.377897745315975,13.260319523808898
2020-06-01,US,United States,Cleaning & Sanitation,34.67205793109091,31.242396935604273
2020-06-01,US,United States,Community & Social Service,28.083016891449518,26.61530371729178
2020-06-01,US,United States,Construction,46.90500172121428,43.0820713503237
2020-06-01,US,United States,Customer Service,19.304083537339178,16.135307814209582
2020-06-01,US,United States,Data & Analytics,6.693192683754356,6.1677013946748955
2020-06-01,US,United States,Dental,43.838845284669404,39.08003424081228
2020-06-01,US,United States,Driving,33.42439853601846,29.024716850074537
2020-06-01,US,United States,Education & Instruction,18.3862179206702,16.899483195503105
2020-06-01,US,United States,Electrical Engineering,12.218133154901304,10.398013217723701
2020-06-01,US,United States,Food Preparation & Service,13.647124405700984,11.535090608085008
2020-06-01,US,United States,Hospitality & Tourism,20.510527962805668,18.66914493004341
2020-06-01,US,United States,Human Resources,16.3675896576114,14.48442576777849
2020-06-01,US,United States,"IT Infrastructure, Operations & Support",13.859154929577464,12.241514787241664
2020-06-01,US,United States,IT Systems & Solutions,7.922322507284487,7.196128271498779
2020-06-01,US,United States,Industrial Engineering,6.283293355347186,5.602438662734016
2020-06-01,US,United States,Installation & Maintenance,31.01617420421789,28.565332945205842
2020-06-01,US,United States,Insurance,33.4171658512049,30.64974979999738
2020-06-01,US,United States,Legal,22.153239354320355,19.837290329514108
2020-06-01,US,United States,Loading & Stocking,27.939685157279197,24.516575420576782
2020-06-01,US,United States,Logistic Support,20.343599413366857,17.903024521561047
2020-06-01,US,United States,Management,8.35768655414208,7.754569155610981
2020-06-01,US,United States,Marketing,19.448946515397083,17.401379767979318
2020-06-01,US,United States,Mechanical Engineering,11.249500998003992,10.021800294730845
2020-06-01,US,United States,Media & Communications,22.78565843851223,20.62646435049827
2020-06-01,US,United States,Medical Information,16.231621982860286,14.113766383528729
2020-06-01,US,United States,Medical Technician,13.478742249778566,11.592201640872332
2020-06-01,US,United States,Nursing,13.934388076652748,12.803411712579466
2020-06-01,US,United States,Personal Care & Home Health,28.63865904834159,26.311280684728434
2020-06-01,US,United States,Pharmacy,9.482247936495398,8.199439808267806
2020-06-01,US,United States,Physicians & Surgeons,10.312079634113532,8.986138923887479
2020-06-01,US,United States,Production & Manufacturing,28.674013863262353,25.58595294432945
2020-06-01,US,United States,Project Management,12.385859400784774,10.780356072178472
2020-06-01,US,United States,Retail,10.087651612239465,8.700770819583552
2020-06-01,US,United States,Sales,19.258964612982115,16.877878033381446
2020-06-01,US,United States,Scientific Research & Development,6.1372260512661665,5.672158812855726
2020-06-01,US,United States,Security & Public Safety,30.611846979761086,29.58620008112898
2020-06-01,US,United States,Social Science,21.59698208110657,20.13437479375277
2020-06-01,US,United States,Software Development,7.727811901769881,7.316757034830687
2020-06-01,US,United States,Therapy,20.946019827963262,18.29346147614272
2020-07-01,US,United States,Accounting,20.723570239066532,20.38032136953434
2020-07-01,US,United States,Administrative Assistance,29.79719119761141,29.120108922164476
2020-07-01,US,United States,Architecture,21.76476673218165,20.333984613631618
2020-07-01,US,United States,Arts & Entertainment,18.84825510090311,18.093556690800213
2020-07-01,US,United States,Aviation,15.33799533799534,14.220261828380979
2020-07-01,US,United States,Banking & Finance,11.956350899252307,11.276870174953011
2020-07-01,US,United States,Childcare,52.66790970762089,48.166784914677216
2020-07-01,US,United States,Civil Engineering,16.27568230604109,14.991473405630513
2020-07-01,US,United States,Cleaning & Sanitation,35.91439271061921,34.25479662067031
2020-07-01,US,United States,Community & Social Service,29.557867037386426,28.28828080250108
2020-07-01,US,United States,Construction,47.13463056703664,46.17915158796469
2020-07-01,US,United States,Customer Service,19.69133434756563,18.751451556571002
2020-07-01,US,United States,Data & Analytics,6.58677345268241,6.542328505783263
2020-07-01,US,United States,Dental,41.90153021526758,43.34298665827427
2020-07-01,US,United States,Driving,35.656760295461844,33.00107355757937
2020-07-01,US,United States,Education & Instruction,22.59130404377699,19.10400094955511
2020-07-01,US,United States,Electrical Engineering,11.941875825627477,11.636580246728478
2020-07-01,US,United States,Food Preparation & Service,14.580689052932993,13.335018341524338
2020-07-01,US,United States,Hospitality & Tourism,22.484169091220263,20.469250921966623
2020-07-01,US,United States,Human Resources,16.519783347103644,16.12273242496416
2020-07-01,US,United States,"IT Infrastructure, Operations & Support",14.082570689867444,13.4384122859718
2020-07-01,US,United States,IT Systems & Solutions,7.909853427094807,7.7319628143557075
2020-07-01,US,United States,Industrial Engineering,6.236796178928998,6.042177341736249
2020-07-01,US,United States,Installation & Maintenance,30.97408211316312,30.733091509370578
2020-07-01,US,United States,Insurance,32.439278796006555,32.553427248614646
2020-07-01,US,United States,Legal,23.21745416310705,22.146199444868923
2020-07-01,US,United States,Loading & Stocking,27.680068576069054,27.042726355818786
2020-07-01,US,United States,Logistic Support,21.229909154437458,20.115917389164668
2020-07-01,US,United States,Management,9.122350541420248,8.622002135783392
2020-07-01,US,United States,Marketing,19.29499072356215,19.371741979491407
2020-07-01,US,United States,Mechanical Engineering,11.28548349873067,11.029196317484983
2020-07-01,US,United States,Media & Communications,23.12167470538511,22.518265737754746
2020-07-01,US,United States,Medical Information,14.709840867706436,15.561491376868654
2020-07-01,US,United States,Medical Technician,13.182988439867435,13.124581202523204
2020-07-01,US,United States,Nursing,14.894764568647616,14.064931419006433
2020-07-01,US,United States,Personal Care & Home Health,30.339146437647884,28.603307799630016
2020-07-01,US,United States,Pharmacy,9.815722529006639,9.069467411931987
2020-07-01,US,United States,Physicians & Surgeons,10.94002804443965,10.304243630962192
2020-07-01,US,United States,Production & Manufacturing,29.975587703435803,28.397057291098307
