date,country_code,country,pay_transparency_pct,pay_transparency_pct_3ma
2020-12-01,JP,Japan,94.42029661162508,94.33630505747165
2020-12-01,US,United States,20.310822260153195,21.16911061445887
2021-01-01,AU,Australia,26.53187554647663,26.22017384232152
2021-01-01,CA,Canada,28.037557181176382,28.07092050230143
2021-01-01,DE,Germany,4.216413558214944,4.29792245033083
2021-01-01,FR,France,26.852924989478456,26.92194314714467
2021-01-01,GB,United Kingdom,51.099755609864474,51.20122533942697
2021-01-01,IE,Ireland,19.611606271550322,20.654329673612267
2021-01-01,JP,Japan,93.2675340481774,93.98460295989248
2021-01-01,US,United States,21.888341238820257,21.03380163186282
2021-02-01,AU,Australia,26.296632704104468,26.17919291213323
2021-02-01,CA,Canada,28.96168542488423,28.188972153561565
2021-02-01,DE,Germany,4.316860849701449,4.212657635607666
2021-02-01,FR,France,28.35344031700916,27.226124027271627
